id,date,date_source,title,url,pdf,match_conf,words
ZrJA8q5Yixg,2024-02-14,yt_title,"Mohnish Pabrai's Session with Columbia Business School (CSIMA) on February 14, 2024",https://www.youtube.com/watch?v=ZrJA8q5Yixg,20240307_mohnish_pabrais_session_with_columbia_business_school__csima__on_february_14_2024.pdf,date+kw,7677
yHIz0WlMnMc,2024-03-12,yt_title,"Mohnish Pabrai's Session with MIT's Brass Rat Investments on March 12, 2024",https://www.youtube.com/watch?v=yHIz0WlMnMc,20240424_mohnish_pabrais_session_with_mits_brass_rat_investments_on_march_12_2024.pdf,date+kw,9208
pu8M0SsqRtg,2024-03-20,yt_title,"Mohnish Pabrai’s session with YPO’s Mosaic Chapter on  March 20, 2024",https://www.youtube.com/watch?v=pu8M0SsqRtg,20240409_mohnish_pabrais_session_with_ypo_united_mosaic_on_march_20_2024_v2.pdf,date+kw,7315
kTXZO5N_FK4,2024-04-01,yt_title,"Mohnish Pabrai's Session at The Investor’s Podcast on April 1, 2024",https://www.youtube.com/watch?v=kTXZO5N_FK4,20260119_mohnish_pabrais_session_at_the_investors_podcast_on_april_1_2024_reviewed_v2.pdf,date+kw,9392
TyYRrfY3_zM,2024-04-04,yt_title,"Mohnish Pabrai's Interview at My First Million Podcast on April 4, 2024",https://www.youtube.com/watch?v=TyYRrfY3_zM,20240522_mohnish_pabrais_interview_at_my_first_million_podcast_on_april_4_2024.pdf,date+kw,17526
FFxUSADENrc,2024-05-03,yt_title,"Mohnish Pabrai's Session at The University of Nebraska, Omaha on May 3, 2024",https://www.youtube.com/watch?v=FFxUSADENrc,20240620_mohnish_pabrais_session_at_the_university_of_nebraska_omaha_on_may_3_2024_v2.pdf,date+kw,11219
yjXKhLO_7jI,2024-06-12,yt_title,"Mohnish Pabrai’s Session with CFA Society, United Kingdom on June 12, 2024",https://www.youtube.com/watch?v=yjXKhLO_7jI,20240704_mohnish_pabrais_session_with_the_cfa_society_united_kingdom_on_june_12_2024.pdf,date+kw,8859
uzp37XkxWxY,2024-06-19,yt_title,"Mohnish Pabrai’s Session with Rotary Bangalore DownTown on June 19, 2024",https://www.youtube.com/watch?v=uzp37XkxWxY,20240709_mohnish_pabrais_session_with_rotary_bangalore_downtown_on_june_19_2024_v3.pdf,date+kw,6508
jZ4f21386Yc,2024-07-09,yt_title,"Mohnish Pabrai's Session with YPO Delhi on July 9, 2024",https://www.youtube.com/watch?v=jZ4f21386Yc,20240802_mohnish_pabrais_session_with_ypo_delhi_chapter_on_july_9_2024.pdf,date+kw,9753
Run79mbS0Gs,2024-09-24,yt_title,"Mohnish Pabrai's Podcast with Kevin (Age 10) and Justin (Age 6) on September 24, 2024",https://www.youtube.com/watch?v=Run79mbS0Gs,20241008_mohnish_pabrais_session_at_the_kevin_justin_fin_podcast_on_september_24_2024.pdf,date+kw,6395
m-chs2cmWTs,2024-10-15,yt_title,"Mohnish Pabrai's Guest Lecture at University of Nebraska, Omaha on October 15, 2024",https://www.youtube.com/watch?v=m-chs2cmWTs,20241119_mohnish_pabrais_guest_lecture_at_university_of_nebraska_omaha_on_october_15_2024.pdf,date+kw,8293
sDQD2CQ8MXk,2024-10-29,yt_title,"Mohnish Pabrai's Talk with GreenHaven Road Partners Fund on October 29, 2024",https://www.youtube.com/watch?v=sDQD2CQ8MXk,20241115_mohnish_pabrais_talk_with_greenhaven_road_partners_fund_on_october_29_2024.pdf,date+kw,6301
DS4lhTSZMRc,2024-11-15,yt_title,"Mohnish Pabrai's Guest Lecture at Microsoft on November 15, 2024",https://www.youtube.com/watch?v=DS4lhTSZMRc,20250122_mohnish_pabrais_guest_lecture_with_microsoft_on_november_15_2024.pdf,date+kw,8412
MGqKFwtCWnU,2025-01-21,yt_title,"Mohnish Pabrai’s Interview at MOI Global on January 21, 2025",https://www.youtube.com/watch?v=MGqKFwtCWnU,20250225_mohnish_pabrais_interview_at_the_manual_of_ideas_global_on_january_21_2025_v2.pdf,date+kw,8228
